Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Transport,British Transport Police ,12/04/2010,HMIC INSPECTIONS,FHQ POLICE AUTHORITY,HOME OFFICE ACCOUNTS RECEIVABLE,207185,39294.16
Department for Transport,British Transport Police ,12/04/2010,TEMPORARY STAFF,LN Area Command,INTERSERVE SECURITY LTD,207187,46080
Department for Transport,British Transport Police ,12/04/2010,P&M - ADDITIONS,CAPITAL CONTROL ACCOUNT,KIRINTEC LTD,206752,1683
Department for Transport,British Transport Police ,12/04/2010,P&M - ADDITIONS,CAPITAL CONTROL ACCOUNT,KIRINTEC LTD,206752,25500
Department for Transport,British Transport Police ,12/04/2010,FORENSIC SERVICES,CRIME S.O.C.O,Lgc Ltd,207183,22790
Department for Transport,British Transport Police ,12/04/2010,TEMPORARY STAFF,HR MAJOR PROJECTS,LINKHILL RECRUITMENT LTD,207545,-142
Department for Transport,British Transport Police ,12/04/2010,TEMPORARY STAFF,HR MAJOR PROJECTS,LINKHILL RECRUITMENT LTD,207545,22656
Department for Transport,British Transport Police ,12/04/2010,INTANG ASSETS LICENCES - ADD,CAPITAL CONTROL ACCOUNT,NORTHGATE INFORMATION SOLUTIONS LTD,201148,24875
Department for Transport,British Transport Police ,12/04/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,NORTHGATE INFORMATION SOLUTIONS LTD,204957,32427.64
Department for Transport,British Transport Police ,12/04/2010,INTANG ASSETS LICENCES - ADD,CAPITAL CONTROL ACCOUNT,MERIDIO LIMITED - deleted,207424,25000
Department for Transport,British Transport Police ,12/04/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,MERIDIO LIMITED - deleted,207424,1875
